Date_Filed,Nominated_Office,Municipality,Ward,Last_Name,Given_Names,Website,PositionUniqueName
6/20/2018,Regional Councillor,Kitchener,,Martin,Ted,,Regional-Kitchener
6/20/2018,Councillor,Cambridge,7,Monteiro,Francesco (Frank),,Cambridge-Ward-07
6/19/2018,Councillor,Kitchener,10,Meirer,Peter,,Kitchener-Ward-10
6/21/2018,Councillor,Waterloo,2,Bodaly,Royce,,Waterloo-Ward-02
6/21/2018,Councillor,Cambridge,4,Liggett,Jan,,Cambridge-Ward-04
6/22/2018,Councillor,Waterloo,2,Moore,Janice,,Waterloo-Ward-02
6/22/2018,Mayor,Cambridge,,Carter,Randy,,Cambridge-Mayor
,Regional Chair,Chair,,Deutschman,Rob,,Regional-Chair
,Regional Councillor,Cambridge,,Shaver,Jeffry,,Regional-Cambridge
,Regional Councillor,Kitchener,,Lorentz,Geoff,,Regional-Kitchener
,Councillor,Cambridge,2,Devine,Mike,,Cambridge-Ward-02
,Councillor,Cambridge,5,Kirby,Bill,,Cambridge-Ward-05
,Councillor,Cambridge,8,Ermeta,Nicholas,,Cambridge-Ward-08
,Public School Trustee,Cambridge & North Dumfries,,Waterfall,Courtney,@courtwaterfall,SchoolBoard-Public-English-Cambridge-NorthDumfries
,French Catholic School Board,,,Petit-Pas,Dorothée,,Schoolboard-Catholic-French
